"\N"	"0"	"tcp"	"Reserved"
"\N"	"0"	"udp"	"Reserved"
"tcpmux"	"1"	"tcp"	"TCP Port Service Multiplexer"
"tcpmux"	"1"	"udp"	"TCP Port Service Multiplexer"
"compressnet"	"2"	"tcp"	"Management Utility"
"compressnet"	"2"	"udp"	"Management Utility"
"compressnet"	"3"	"tcp"	"Compression Process"
"compressnet"	"3"	"udp"	"Compression Process"
"rje"	"5"	"tcp"	"Remote Job Entry"
"rje"	"5"	"udp"	"Remote Job Entry"
"echo"	"7"	"tcp"	"Echo"
"echo"	"7"	"udp"	"Echo"
"discard"	"9"	"tcp"	"Discard"
"discard"	"9"	"udp"	"Discard"
"systat"	"11"	"tcp"	"Active Users"
"systat"	"11"	"udp"	"Active Users"
"daytime"	"13"	"tcp"	"Daytime (RFC 867)"
"daytime"	"13"	"udp"	"Daytime (RFC 867)"
"qotd"	"17"	"tcp"	"Quote of the Day"
"qotd"	"17"	"udp"	"Quote of the Day"
"msp"	"18"	"tcp"	"Message Send Protocol"
"msp"	"18"	"udp"	"Message Send Protocol"
"chargen"	"19"	"tcp"	"Character Generator"
"chargen"	"19"	"udp"	"Character Generator"
"ftp-data"	"20"	"tcp"	"File Transfer [Default Data]"
"ftp-data"	"20"	"udp"	"File Transfer [Default Data]"
"ftp"	"21"	"tcp"	"File Transfer [Control]"
"ftp"	"21"	"udp"	"File Transfer [Control]"
"ssh"	"22"	"tcp"	"SSH Remote Login Protocol"
"ssh"	"22"	"udp"	"SSH Remote Login Protocol"
"telnet"	"23"	"tcp"	"Telnet"
"telnet"	"23"	"udp"	"Telnet"
"\N"	"24"	"tcp"	"any private mail system"
"\N"	"24"	"udp"	"any private mail system"
"smtp"	"25"	"tcp"	"Simple Mail Transfer"
"smtp"	"25"	"udp"	"Simple Mail Transfer"
"nsw-fe"	"27"	"tcp"	"NSW User System FE"
"nsw-fe"	"27"	"udp"	"NSW User System FE"
"msg-icp"	"29"	"tcp"	"MSG ICP"
