"shape","carat","cut","color","clarity","totaldepth","table","price","width","height","depth"
"Round",1.53,"Very Good","E","VS1",60.7,60,9720.081,7.38,7.52,4.52
"Round",0.71,"Premium","F","SI1",59,61,1645.728,5.88,5.84,3.46
"Round",1.33,"Fair","E","SI2",65,57,3200.316,6.93,6.89,4.49
"Round",1.2,"Premium","I","VS1",59.9,59,4068.75,6.96,6.87,4.14
"Round",1.23,"Premium","I","SI1",60.3,58,3721.767,6.95,6.92,4.18
"Round",0.56,"Ideal","D","SI2",60,58,1020.768,5.42,5.38,3.24
"Round",1,"Very Good","F","VVS1",61.1,57,6425.37,6.36,6.51,3.93
"Round",1.59,"Ideal","I","SI2",61.6,57,5193.678,7.56,7.51,4.64
"Round",1.1,"Ideal","F","VS1",61.5,59,5726.196,6.63,6.58,4.06
"Round",0.33,"Ideal","G","IF",61.6,56,640.584,4.45,4.48,2.75
"Round",0.31,"Ideal","F","VVS1",62.2,53,546.84,4.35,4.37,2.71
"Round",1.5,"Premium","I","VS2",62.9,58,5741.82,7.17,7.08,4.48
"Round",0.7,"Ideal","F","SI1",62.7,57,1637.265,5.66,5.7,3.56
"Round",0.31,"Ideal","D","SI1",62.6,57,371.721,4.3,4.33,2.7
"Round",0.9,"Good","I","VVS1",63.9,63,2435.391,6.04,6.07,3.87
"Round",1.2,"Ideal","D","SI1",62.7,55,5052.411,6.71,6.79,4.23
"Round",1.02,"Ideal","H","VVS2",62.1,55,4424.847,6.5,6.46,4.02
"Round",0.42,"Ideal","E","VS2",62.1,56,623.658,4.77,4.8,2.97
"Round",0.77,"Ideal","H","VS2",62,56,1798.713,5.89,5.86,3.64
"Round",1.88,"Very Good","I","VS2",62.2,57,8858.157,7.79,7.86,4.87
"Round",2.11,"Ideal","I","SI1",61,57,10081.386,8.37,8.29,5.08
"Round",0.61,"Very Good","D","SI1",58.5,58,1190.028,5.54,5.64,3.27
"Round",1.5,"Premium","H","VS1",59.9,60,7284.039,7.44,7.39,4.44
"Round",0.5,"Ideal","H","VVS1",61.9,54,1072.848,5.13,5.14,3.18
"Round",0.31,"Ideal","D","VS2",62.2,57,613.242,4.34,4.31,2.69
"Round",0.3,"Ideal","G","VVS2",61.9,57,423.15,4.3,4.33,2.66
"Round",0.31,"Ideal","H","IF",61.3,56,513.639,4.37,4.41,2.69
"Round",1.03,"Ideal","F","VS1",62.1,55,5318.019,6.47,6.5,4.03
"Round",1.02,"Very Good","F","SI2",61.1,62,2593.584,6.49,6.54,3.98
"Round",1.2,"Ideal","H","VS2",62.6,56,4287.486,6.76,6.73,4.22
"Round",0.41,"Ideal","D","SI1",60.5,57,484.344,4.81,4.85,2.92
"Round",0.3,"Very Good","G","VVS1",61.9,59,513.639,4.28,4.31,2.66
"Round",0.65,"Ideal","E","VVS2",62.1,57,1967.973,5.55,5.6,3.46
"Round",1.86,"Ideal","J","VS2",62.6,56,6713.112,7.95,7.87,4.95
"Round",0.42,"Very Good","F","VS1",60.9,58,592.41,4.84,4.88,2.96
"Round",0.5,"Premium","F","VS1",62,58,1196.538,5.1,5.03,3.14
"Round",0.3,"Good","E","VVS2",59.5,59,404.922,4.35,4.39,2.6
"Round",0.51,"Ideal","D","VS2",62.7,55,1163.337,5.09,5.12,3.2
"Round",1.08,"Ideal","I","SI1",61.4,57,2835.105,6.67,6.62,4.08
"Round",0.3,"Premium","D","VS2",62.9,59,593.061,4.27,4.22,2.67
"Round",0.42,"Very Good","H","SI1",62,59,455.7,4.76,4.79,2.96
"Round",0.7,"Very Good","E","SI2",62,59,1473.213,5.61,5.68,3.5
