Classification tree:
rpart(formula = V1 ~ ., data = nova.train, cp = 0.001)

Variables actually used in tree construction:
 [1] V10 V14 V15 V16 V17 V18 V19 V2  V20 V3  V4  V7  V8 

Root node error: 4500/9000 = 0.5
n= 9000
      CP nsplit rel error  xerror      xstd
1  0.6553333      0  1.000000 1.03244 0.0105354
2  0.1206667      1  0.344667 0.34733 0.0079863
3  0.0280000      2  0.224000 0.22667 0.0066829
4  0.0211111      3  0.196000 0.20200 0.0063526
5  0.0073333      4  0.174889 0.17778 0.0059995
6  0.0066667      5  0.167556 0.17422 0.0059450
7  0.0060000      6  0.160889 0.17133 0.0059002
8  0.0046667      8  0.148889 0.15756 0.0056793
9  0.0042222      9  0.144222 0.15733 0.0056756
10 0.0035556     10  0.140000 0.14733 0.0055072
11 0.0024444     14  0.123111 0.13289 0.0052506
12 0.0020000     15  0.120667 0.13022 0.0052014
13 0.0017778     17  0.116667 0.13022 0.0052014
14 0.0015556     18  0.114889 0.12844 0.0051682
15 0.0013333     19  0.113333 0.13200 0.0052342
16 0.0012778     21  0.110667 0.13289 0.0052506
17 0.0011111     26  0.103778 0.13000 0.0051972
18 0.0010000     30  0.099333 0.13111 0.0052178
