"class","apsig","perinc","pcygsig","mxy","fwx","fwy","neighbordist","new1sig","new2sig","sub1sig","sub2sig","sub2minsub1","dsub1sub2","holeinref","bigapratio","relfwx","relfwy","roundness","wiggliness"
"SN",0.311303,-0.23546,0.0209144,0.0477383,-0.210187,0.118643,-0.170199,0.219997,0.185241,0.178473,0.121268,-0.11296,-0.891877,0.042535,-0.6094,-0.532769,-0.0260127,-0.996583,-0.859079
"SN",0.295687,-0.822373,-0.551566,0.0807105,-0.208919,0.117102,-0.77988,0.561584,0.598593,0.161476,0.118939,-0.143448,-0.927266,0.531573,-0.63006,-0.56285,-0.0599725,-0.992329,-0.88814
"SN",0.587204,-0.327246,0.274055,0.0232128,-0.177138,0.154605,-0.1222,0.517581,0.50731,0.400729,0.376439,-0.124643,-0.973173,0.135331,-0.817398,-0.515883,-0.0188459,-0.992192,-0.869554
"SN",0.217844,-0.866606,-0.157785,-0.0173825,-0.259272,0.138014,-0.434956,0.546702,0.546666,0.0823423,-0.0506144,-0.210662,-0.330608,0.40839,-0.608056,-0.558453,-0.00560599,-0.982121,-0.177249
"SN",0.31993,-0.0230791,0.078395,0.0361371,-0.261911,0.135351,0.0417362,0.227825,0.186382,0.188626,0.132384,-0.089633,-0.939066,-0.00239071,-0.762803,-0.566493,-0.0100372,-0.999972,-0.874745
"SN",0.421003,0.0665066,0.244029,0.0560383,-0.191983,0.147914,0.372891,0.334851,0.308731,0.292376,0.244934,-0.0422721,-0.957002,-0.00589094,-0.838999,-0.521262,-0.013765,-0.99614,-0.888411
"SN",0.517866,-0.248621,0.306953,0.0857412,-0.251949,0.116828,-0.153048,0.427875,0.384572,0.401154,0.331397,-0.0690352,-0.986556,0.132608,-0.834404,-0.529099,-0.0294287,-0.988366,-0.897737
"SN",0.773681,0.329386,0.567664,0.0714626,-0.200543,0.119481,-0.0203547,0.696564,0.709169,0.700352,0.676867,-0.370452,-0.912737,-0.0392056,-0.834544,-0.497685,-0.0223568,-0.996306,-0.751137
"SN",0.370138,-0.0731385,0.200392,0.0473437,-0.197321,0.151486,-0.284079,0.200467,0.258634,0.184157,0.22368,0.238884,-0.951913,0.032609,-0.845126,-0.486877,0.0158254,-0.887573,-0.674043
"SN",0.380727,-0.0251079,0.270325,0.107234,-0.200729,0.12075,0.340383,0.270778,0.291444,0.247353,0.23122,-0.118649,-0.958635,-0.0952325,-0.845258,-0.509836,-0.0265461,-0.998969,-0.643897
"SN",0.412333,-0.32106,0.174909,0.0637232,-0.228608,0.115841,-0.230739,0.366277,0.345016,0.281169,0.237881,-0.09198,-0.976032,0.0387054,-0.815993,-0.531145,-0.0287702,-0.996462,-0.926712
