"ADDISON COUNTY",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Town Name",BADNARIK-M,,BUSH-R,,CALERO-O,,KERRY-D,,NADER-I,,PARKER-L,,Write-Ins,,"Town Total"
Addison,3,0.004,407,0.541,0,0,333,0.443,6,0.008,1,0.001,1,0.001,751
Bridport,10,0.014,350,0.493,0,0,337,0.475,10,0.014,0,0,2,0.002,709
Bristol,4,0.002,746,0.387,0,0,1151,0.597,18,0.009,2,0.001,5,0.002,1926
Cornwall,3,0.004,230,0.312,0,0,488,0.663,11,0.014,1,0.001,3,0.004,736
Ferrisburgh,8,0.005,692,0.457,0,0,800,0.528,12,0.007,0,0,2,0.001,1514
Goshen,4,0.029,49,0.357,0,0,82,0.598,2,0.014,0,0,0,0,137
Granville,0,0,39,0.248,0,0,113,0.719,3,0.019,1,0.006,1,0.006,157
Hancock,1,0.005,69,0.371,0,0,111,0.596,4,0.021,0,0,1,0.005,186
Leicester,0,0,277,0.487,0,0,277,0.487,8,0.014,0,0,6,0.01,568
Lincoln,1,0.001,253,0.321,1,0.001,513,0.652,14,0.017,2,0.002,2,0.002,786
Middlebury,4,0.001,933,0.275,2,0,2390,0.706,37,0.01,4,0.001,14,0.004,3384
Monkton,2,0.001,378,0.346,0,0,696,0.637,14,0.012,0,0,2,0.001,1092
"New Haven",1,0.001,404,0.408,2,0.002,567,0.573,9,0.009,1,0.001,4,0.004,988
Orwell,2,0.003,321,0.5,7,0.01,307,0.478,4,0.006,0,0,1,0.001,642
Panton,0,0,181,0.498,0,0,175,0.482,4,0.011,1,0.002,2,0.005,363
Ripton,0,0,87,0.264,0,0,237,0.72,5,0.015,0,0,0,0,329
Salisbury,2,0.003,238,0.416,0,0,326,0.57,5,0.008,0,0,0,0,571
Shoreham,0,0,256,0.407,0,0,366,0.581,7,0.011,0,0,0,0,629
Starksboro,1,0.001,315,0.357,1,0.001,547,0.62,13,0.014,1,0.001,3,0.003,881
Vergennes,4,0.003,511,0.425,1,0,664,0.552,18,0.015,0,0,3,0.002,1201
Waltham,1,0.003,95,0.333,0,0,179,0.628,8,0.028,0,0,2,0.007,285
Weybridge,2,0.003,167,0.311,0,0,362,0.674,6,0.011,0,0,0,0,537
Whiting,0,0,79,0.381,0,0,126,0.608,2,0.009,0,0,0,0,207
,,,,,,,,,,,,,,,
"Addison County Totals",53,0.002,7077,0.38,14,0,11147,0.6,220,0.011,14,0,54,0.002,18579
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"BENNINGTON COUNTY",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Town Name",BADNARIK-M,,BUSH-R,,CALERO-O,,KERRY-D,,NADER-I,,PARKER-L,,Write-Ins,,"Town Total"
Arlington,6,0.004,582,0.431,0,0,739,0.547,14,0.01,3,0.002,5,0.003,1349
"Bennington - Bennington 2-1",14,0.005,1006,0.372,0,0,1647,0.61,27,0.01,3,0.001,3,0.001,2700
