"state" "bushVote" "kerryVote"
"ALABAMA" 1176007  693124
"ARIZONA"  908211  735327
"ARKANSAS"  566678  464157
"CALIFORNIA" 4403495 5427055
"COLORADO" 1068233  960666
"CONNECTICUT"  686923  847666
"DELAWARE"  171531  199887
"DISTRICT OF COLUMBIA"   19007  183876
"FLORIDA" 3955656 3574509
"GEORGIA" 1889832 1345198
"IDAHO"  408254  180920
"ILLINOIS" 2336253 2866307
"INDIANA" 1474475  960899
"IOWA"  746600  733102
"KANSAS"  717507  420846
"KENTUCKY" 1068741  712431
"LOUISIANA" 1101873  819150
"MAINE"  330416  395462
"MARYLAND"  951892 1223813
"MASSACHUSETTS" 1067163 1793916
"MICHIGAN" 2310803 2475046
"MINNESOTA" 1345175 1443619
"MISSISSIPPI"  671084  445608
"MISSOURI" 1452715 1253879
"MONTANA"  265473  173363
"NEBRASKA"  506521  249464
"NEVADA"  414939  393372
"NEW HAMPSHIRE"  330848  340019
"NEW JERSEY" 1587494 1799320
"NEW MEXICO"  373075  364822
"NEW YORK" 2795605 3993343
"NORTH CAROLINA" 1910936 1484158
"NORTH DAKOTA"  195998  110662
"OHIO" 2796147 2659664
"OKLAHOMA"  959655  504077
"OREGON"  823210  890698
"PENNSYLVANIA" 2756904 2885773
"RHODE ISLAND"  161654  247407
"SOUTH CAROLINA"  924170  650350
"SOUTH DAKOTA"  232545  149225
"TENNESSEE" 1381937 1033176
"TEXAS" 4518491 2825723
"UTAH"  612623  227286
"VERMONT"  120710  183621
"VIRGINIA" 1667198 1400254
"WASHINGTON" 1262125 1451893
"WEST VIRGINIA"  417516  322276
"WISCONSIN" 1477122 1488935
"WYOMING"  167129   70620
